case,timestamp,source,info
10,03-04-24 15:07:38.38,s1,FillingCompleted
10,03-04-24 15:07:38.38,lgpA,StartTransfer
10,03-04-24 15:07:41.41,s2,FillingCompleted
10,03-04-24 15:07:41.41,s2,StartHeating
10,03-04-24 15:07:43.43,s2,HeatingCompleted
10,03-04-24 15:07:47.47,s1,PouringCompleted
10,03-04-24 15:07:47.47,lgpB,StartTransfer
10,03-04-24 15:07:47.47,s4,FillingCompleted
10,03-04-24 15:07:47.47,lgpA,TransferCompleted
10,03-04-24 15:07:47.47,s1,StartFilling
10,03-04-24 15:07:47.47,s4,StartHeating
10,03-04-24 15:07:50.50,s1,FillingCompleted
10,03-04-24 15:07:51.51,s4,HeatingCompleted
10,03-04-24 15:07:51.51,s4,StartMixing
10,03-04-24 15:07:53.53,s4,MixingCompleted
10,03-04-24 15:07:53.53,s4,PouringStarted
10,03-04-24 15:07:53.53,s2,PouringCompleted
10,03-04-24 15:07:53.53,s3,FillingCompleted
10,03-04-24 15:07:53.53,lgpB,TransferCompleted
10,03-04-24 15:07:53.53,s2,StartFilling
10,03-04-24 15:07:53.53,s3,StartMixing
10,03-04-24 15:07:56.56,s4,PouringCompleted
10,03-04-24 15:07:56.56,lgpA,StartTransfer
10,03-04-24 15:07:57.57,s3,MixingCompleted
10,03-04-24 15:07:57.57,s3,PouringStarted
10,03-04-24 15:07:59.59,s2,FillingCompleted
10,03-04-24 15:07:59.59,s2,StartHeating
10,03-04-24 15:08:01.1,s2,HeatingCompleted
10,03-04-24 15:08:03.3,s3,PouringCompleted
10,03-04-24 15:08:06.6,s1,PouringCompleted
10,03-04-24 15:08:06.6,s4,FillingCompleted
10,03-04-24 15:08:06.6,lgpB,StartTransfer
10,03-04-24 15:08:06.6,lgpA,TransferCompleted
10,03-04-24 15:08:06.6,s4,StartHeating
10,03-04-24 15:08:10.10,s4,HeatingCompleted
10,03-04-24 15:08:10.10,s4,StartMixing
10,03-04-24 15:08:12.12,s4,MixingCompleted
10,03-04-24 15:08:12.12,s4,PouringStarted
10,03-04-24 15:08:12.12,s2,PouringCompleted
10,03-04-24 15:08:12.12,s3,FillingCompleted
10,03-04-24 15:08:12.12,lgpB,TransferCompleted
10,03-04-24 15:08:12.12,s3,StartMixing
10,03-04-24 15:08:15.15,s4,PouringCompleted
10,03-04-24 15:08:16.16,s3,MixingCompleted
10,03-04-24 15:08:16.16,s3,PouringStarted
10,03-04-24 15:08:22.22,s3,PouringCompleted
11,04-04-24 11:42:24.24,s2,StartFilling
11,04-04-24 11:42:24.24,s1,StartFilling
11,04-04-24 11:42:28.28,s1,FillingCompleted
11,04-04-24 11:42:28.28,s2,FillingCompleted
11,04-04-24 11:42:28.28,lgpA,StartTransfer
11,04-04-24 11:42:28.28,s2,StartHeating
